feature_code,year,measurement,value,walking_time_to_nearest_green_or_blue_space,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,neighbourhood_rating,community_belonging,la_name
S12000033,2014,Percent,4,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeen City
S12000039,2019,Percent,3,Don't Know,All,All,All,All,All,Adults,All,NA,NA,West Dunbartonshire
S12000026,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Scottish Borders
S12000038,2019,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Renfrewshire
S12000048,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Perth and Kinross
S12000039,2019,Percent,7,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,West Dunbartonshire
S12000041,2019,Percent,6,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Angus
S12000039,2019,Percent,4,Don't Know,All,All,All,All,All,With Children,All,NA,NA,West Dunbartonshire
S12000034,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeenshire
S12000011,2018,Percent,11,An 11 minute walk or more,All,All,All,All,All,With Children,All,NA,NA,East Renfrewshire
S12000035,2019,Percent,11,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Argyll and Bute
S12000035,2019,Percent,8,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Argyll and Bute
S12000036,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,City of Edinburgh
S12000033,2013,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeen City
S12000033,2013,Percent,1,Don't Know,All,Female,All,All,All,All,All,NA,NA,Aberdeen City
S12000017,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Highland
S12000014,2019,Percent,8,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Falkirk
S12000038,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Renfrewshire
S12000027,2019,Percent,1,Don't Know,All,All,All,All,All,With Children,All,NA,NA,Shetland Islands
S12000040,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,West Lothian
S12000027,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Shetland Islands
S12000030,2019,Percent,0,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Stirling
S12000028,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,South Ayrshire
S12000017,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Highland
S12000018,2019,Percent,2,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Inverclyde
S12000040,2019,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,West Lothian
S12000045,2019,Percent,5,Don't Know,All,All,All,All,All,With Children,All,NA,NA,East Dunbartonshire
S12000034,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Aberdeenshire
S12000049,2019,Percent,5,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Glasgow City
S12000033,2019,Percent,2,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Aberdeen City
S12000041,2019,Percent,0,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Angus
S12000028,2019,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,South Ayrshire
S12000038,2019,Percent,4,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Renfrewshire
S12000030,2014,Percent,0,Don't Know,All,Male,All,All,All,All,All,NA,NA,Stirling
S12000030,2014,Percent,1,Don't Know,All,All,All,All,All,Pensioners,All,NA,NA,Stirling
S12000030,2013,Percent,1,Don't Know,All,Male,All,All,All,All,All,NA,NA,Stirling
S12000030,2013,Percent,1,Don't Know,All,All,All,All,All,Adults,All,NA,NA,Stirling
S12000033,2015,Percent,1,Don't Know,All,All,All,All,All,All,All,NA,NA,Aberdeen City
